latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,
13,77.600006,914,18000,Asia/Kolkata,IST,,,,,,,,
,,,,,,,,,,,,,
time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°)
29-09-2022,51,26.4,18.5,22.3,21.6,27.7,24.3,0.1,0.1,1,15.5,33.5,157
30-09-2022,55,26.1,19.4,21.3,21.1,26.8,23,8.9,8.9,16,17.9,44.6,160
01-10-2022,63,24.2,19,20.3,20.3,25.6,22.2,20.6,20.6,24,16.7,40.7,173
02-10-2022,53,24.4,18.8,21.3,20.3,26.7,23.1,1.3,1.3,4,20.2,41,152
03-10-2022,51,25.6,18.8,22,21.5,27.4,24,0.6,0.6,6,18.3,37.8,139
04-10-2022,51,26.3,18.6,22.1,21.4,28.6,24.8,0.8,0.8,7,20.1,40.7,132
05-10-2022,51,26.3,18.9,22.3,22.1,29.2,25.4,1.1,1.1,6,17.1,33.1,148
06-10-2022,53,25.7,19.3,21,22.2,27.7,23.9,5.5,5.5,18,16.6,33.5,190
07-10-2022,53,25.7,17.7,21.6,20,28.2,24.2,0.9,0.9,3,12.3,29.5,199
08-10-2022,3,26.1,17.2,21.8,20.1,30.6,25.1,0,0,0,7.9,17.6,133
09-10-2022,63,25.2,19.8,21.7,23.7,29,25.4,16.3,16.3,13,9.1,19.4,91
10-10-2022,63,25.5,19.2,21.5,23.4,30,26,12.7,12.7,18,7.7,22.3,8
11-10-2022,63,26,19.7,21.9,23.7,30.5,26.2,6.2,6.2,10,11.2,26.6,294
12-10-2022,61,26.3,18.9,21.6,23.4,32.2,26.7,6.8,6.8,11,7.2,20.2,245
13-10-2022,53,26.8,19.2,22.4,23.5,32.7,26.8,3.5,3.5,16,8.3,17.6,23
14-10-2022,61,26.9,18.7,21.7,22.5,32.1,26.2,10.4,10.4,14,8.7,20.9,221
15-10-2022,61,27.1,18.9,22.1,22.9,31.9,26.9,6.6,6.6,14,9.5,24.5,47
16-10-2022,63,26.1,19.5,21.9,24.1,30.9,26.5,11.4,11.4,16,9.6,19.8,307
17-10-2022,55,26.8,19.1,21.9,22.8,32.1,26.4,3.2,3.2,8,11.1,27.4,340
18-10-2022,63,25.7,18.7,21.4,22.6,30.8,26,11.7,11.7,15,6.2,19.4,202
19-10-2022,61,26.9,17.9,21.9,22,33,26.6,7.8,7.8,13,8.4,21.2,57
20-10-2022,63,26.8,18.8,21.8,23,31.6,26.5,12.3,12.3,13,9.1,25.9,13
21-10-2022,55,26.1,19.1,21.7,23.2,29.6,25.5,3.6,3.6,9,13.8,34.2,10
22-10-2022,3,26.2,17.5,21.6,21.6,28.6,24.8,0,0,0,14.7,31,61
23-10-2022,0,25.9,15.9,20.7,19.5,29.5,23.7,0,0,0,11.8,26.6,93
24-10-2022,1,24.9,15.1,19.6,16.6,27.1,21,0,0,0,15.9,34.2,113
25-10-2022,0,25.1,13.7,19.4,15,27.9,21.3,0,0,0,10,24.5,101
26-10-2022,0,25.4,13.4,19.5,15.2,30.1,22.1,0,0,0,9,20.5,53
27-10-2022,0,25.5,13.7,19.9,15.3,28.5,22.2,0,0,0,9.7,23.4,20
28-10-2022,51,24.9,16.6,20.6,19.4,27.3,23,0.2,0.2,2,14,33.8,31
29-10-2022,51,24.4,17.2,20.9,19.7,26.3,23.5,0.2,0.2,2,14.1,33.8,16
30-10-2022,51,24.5,18.5,21.5,21.6,27.1,24.1,0.3,0.3,3,12.2,29.5,29
31-10-2022,1,25.6,17.2,21,20.5,28.8,23.7,0,0,0,13.6,32.8,47
01-11-2022,61,23.7,16.9,19.6,19.8,26.6,22.8,6.9,6.9,12,12,33.5,52
02-11-2022,55,21.7,17.5,19.3,20.2,24.5,21.8,8.8,8.8,19,15.8,31.7,56
03-11-2022,55,23.4,18.4,20.2,20.5,26.5,23,5.5,5.5,15,15.6,28.4,34
04-11-2022,61,25,18.8,21.2,21.1,27.9,24.1,3.2,3.2,12,15.1,33.8,5
05-11-2022,51,25.3,18.6,21.4,21.4,27.8,24.2,0.6,0.6,6,18.1,34.9,356
06-11-2022,51,24.4,18.2,20.9,21.5,27,23.8,1,1,5,15.3,31.3,18
07-11-2022,1,25.7,16.1,20.5,19.3,28,22.8,0,0,0,12.8,28.4,29
08-11-2022,3,25.7,15.9,20.6,18.5,28.3,22.9,0,0,0,12.5,27.7,27
09-11-2022,1,26,15.6,20.5,18.8,28.2,22.7,0,0,0,11.5,27,29
10-11-2022,51,26,15.7,20.6,18.7,28.1,22.9,0.1,0.1,1,14.1,32.4,30
11-11-2022,63,23.4,17.9,19.5,19.9,22.8,21.2,12.1,12.1,14,15,46.4,57
12-11-2022,53,22.4,18,19.8,19.3,23.3,21.3,4.6,4.6,18,21.4,38.9,47
13-11-2022,61,23.8,19.3,20.4,21,25.4,23,5.3,5.3,15,20.3,39.2,4
14-11-2022,53,25.3,18.1,20.9,20,27.7,23.2,1,1,4,13,28.1,10
15-11-2022,51,25.3,18.4,21.3,20.8,29.2,24.3,1,1,8,9.1,26.6,11
16-11-2022,3,25.6,17,21,20.5,29,24.2,0,0,0,9.4,25.2,40
17-11-2022,1,25.1,13.3,19.2,16.6,27.6,21.1,0,0,0,11.3,26.3,59
18-11-2022,1,24.8,12.6,18.3,13.9,26.8,19.2,0,0,0,11,24.8,45
19-11-2022,1,24.1,12.1,18,13.7,25.4,18.9,0,0,0,13.6,29.9,45
20-11-2022,1,23.2,11.7,17.8,13.7,24.7,19,0,0,0,11.8,23.8,54
21-11-2022,3,23.5,13.3,18.2,13.4,25.6,19.5,0,0,0,9.4,26.3,76
22-11-2022,51,22.5,17.5,20,19.3,25.7,22.7,0.2,0.2,2,8.7,17.6,64
23-11-2022,53,21.7,18.5,19.7,21.8,25.4,23.6,8.2,8.2,24,7.6,15.8,96
24-11-2022,53,25,19.1,21.1,22.5,28.3,24.7,3,3,15,10.9,24.1,343
25-11-2022,3,25,18.8,21.3,21.2,27.8,24.4,0,0,0,13.1,28.1,346
26-11-2022,3,26.1,18.3,21.5,21.3,30,25,0,0,0,10.2,24.1,357
27-11-2022,51,25.7,18.2,21.4,21.6,28.9,24.7,0.2,0.2,2,9.3,19.4,350
28-11-2022,51,25.9,18.8,21.8,21.4,29.4,25.3,0.4,0.4,4,8.7,19.4,340
29-11-2022,3,26.5,17.9,21.5,19.8,29.1,24.2,0,0,0,10.7,23.4,24
30-11-2022,2,25.4,14.6,19.5,16.6,27.9,21.3,0,0,0,9.3,23,25
01-12-2022,51,24.9,14.1,19.8,16.5,27.2,22.3,0.5,0.5,3,12.3,28.1,353
02-12-2022,51,25.7,18.9,21.6,21.3,28.5,24.4,0.1,0.1,1,12.8,27,358
03-12-2022,3,26,18.7,21.7,21.4,28.7,24.8,0,0,0,14,31,1
04-12-2022,3,26,18.8,21.8,21.3,27.7,23.8,0,0,0,15.9,33.1,13
05-12-2022,3,25.5,17,20.9,19.5,27.1,23.2,0,0,0,16.4,32.8,2
06-12-2022,3,25.9,17.8,21.2,20.4,28.2,23.4,0,0,0,11.5,27.7,32
07-12-2022,1,24.8,15.3,19.5,17.3,23.7,20.1,0,0,0,15.4,32.4,62
08-12-2022,51,24.8,14.5,19.4,15.8,23.7,19.4,0.2,0.2,1,16.6,33.8,92
09-12-2022,61,18.3,14.4,16.5,15.1,18.5,17.1,10.5,10.5,21,18.1,42.1,105
10-12-2022,63,17.5,16.5,17.1,15.8,19.3,17,46.6,46.6,24,25.3,48.6,121
11-12-2022,51,20.6,17.7,18.8,19.5,23.4,21.3,2.9,2.9,13,9.9,19.1,3
12-12-2022,63,23.2,18.3,20.1,20.7,25.6,22.6,10,10,13,12.8,31.7,340
13-12-2022,63,23.9,18.5,20.2,20.5,26.4,22.5,7.8,7.8,10,13.9,35.6,332
14-12-2022,51,23.9,17.3,20,19,25.6,22.1,0.1,0.1,1,17.7,33.8,336
15-12-2022,3,25.2,15,19.9,17.3,26.8,21.9,0,0,0,12.4,28.4,358
16-12-2022,0,25.5,12.9,18.9,15.2,26.7,20.4,0,0,0,13.7,29.5,8
17-12-2022,2,26,14.2,19.8,15.8,28.3,21.8,0,0,0,16.4,33.8,21
18-12-2022,3,25.2,15.6,20.1,18.9,26,22.2,0,0,0,19.2,40,52
19-12-2022,3,24.1,16.3,19.8,18,26.3,21.4,0,0,0,15.9,35.3,65
20-12-2022,1,26,14.1,19.6,15.8,28.4,21.6,0,0,0,11.9,27,70
21-12-2022,2,25.5,14.1,19.1,16.5,26.6,20.7,0,0,0,12.1,27.7,59
22-12-2022,1,25.3,12.4,18.4,13,26.4,19.4,0,0,0,14.9,32.8,51
23-12-2022,1,25.7,12.9,18.8,15,26.7,19.9,0,0,0,11.8,28.1,41
24-12-2022,1,25.8,11.5,18.6,12.2,27.8,19.9,0,0,0,11.8,26.6,41
25-12-2022,51,24,15.6,19.8,17.5,25,21.7,2.4,2.4,12,18.7,35.3,59
26-12-2022,51,25.1,19.3,21.6,21.7,26,23.6,1,1,7,18.9,39.6,97
27-12-2022,51,25,18.7,21.2,21.2,26.7,23.7,1.5,1.5,9,17.8,37.1,106
28-12-2022,3,26.4,18.4,21.7,21.3,29.2,24.3,0,0,0,12.6,29.9,101
29-12-2022,2,26.5,15.4,20.7,19.4,28.8,23,0,0,0,12.4,28.4,96
30-12-2022,0,26.1,13.7,20,16.9,27.8,22,0,0,0,11.7,30.6,92
31-12-2022,1,26.2,14.1,19.9,15.8,28.1,21.5,0,0,0,8.1,23,89
01-01-2023,1,26.6,13.3,19.9,15.8,28.5,21.6,0,0,0,11.3,26.3,78
02-01-2023,1,25.6,14.2,19.5,16.5,26.1,20.4,0,0,0,14.8,34.2,98
03-01-2023,3,25.3,15.5,19.7,16.7,26.5,21,0,0,0,13.7,32,95
04-01-2023,3,25,15.2,19.6,17.4,25.8,20.7,0,0,0,13.4,33.5,98
05-01-2023,3,24.5,16.5,19.7,16.5,24.3,20.2,0,0,0,16.7,36.7,101
06-01-2023,3,25.4,14.7,19.6,15.2,25.9,19.8,0,0,0,18.7,38.9,82
07-01-2023,3,24.2,14.2,19.4,15.8,24.4,20.3,0,0,0,18.3,38.2,75
08-01-2023,3,25.2,15.3,19.8,16.8,26.8,20.9,0,0,0,13.4,29.9,62
09-01-2023,3,25.4,14.4,18.8,14.3,24.6,18.1,0,0,0,12,28.4,80
10-01-2023,2,25.7,10.1,17.6,11.8,25.1,17.9,0,0,0,14,34.9,79
11-01-2023,2,26.4,9.8,18.1,11.5,25.6,18,0,0,0,11.5,28.8,79
12-01-2023,0,27.3,10.8,18.8,11.4,27,18.5,0,0,0,10.9,29.2,80
13-01-2023,1,27.6,11,19.3,11.7,27.9,19.2,0,0,0,10,22.7,95
14-01-2023,1,28,11.2,19.4,13.7,27.4,19.1,0,0,0,9.1,24.1,92
15-01-2023,0,27.9,10.2,19.2,11.8,27.4,19,0,0,0,9.8,22.7,96
16-01-2023,0,28.3,11.5,19.7,13,28.9,20,0,0,0,12.4,21.2,90
17-01-2023,0,27.7,11.1,19.2,13.5,27.6,19.5,0,0,0,11.9,22.3,111
18-01-2023,2,27,12.8,18.9,14.1,27.6,19.6,0,0,0,12.4,24.5,98
19-01-2023,3,26.7,14,19.1,14.9,26.4,19.3,0,0,0,12.6,25.9,92
20-01-2023,3,25.5,12.6,18.9,13.7,25.8,19.4,0,0,0,12.4,30.2,107
21-01-2023,3,25.7,17.2,20.6,17.4,26.1,20.9,0,0,0,12.6,30.2,94
22-01-2023,3,26,15.3,19.9,16.4,25.2,19.8,0,0,0,14.9,33.8,93
23-01-2023,3,25.9,14.5,20.1,15.5,26.3,20.8,0,0,0,14.4,31,107
24-01-2023,51,26.3,17.5,21.3,18.9,27.5,22.4,0.1,0.1,1,14.2,27.7,124
25-01-2023,3,27,15.8,20.3,16.1,27.5,20.6,0,0,0,13,25.6,112
26-01-2023,3,27.3,15.1,20.1,16.2,27.6,20.6,0,0,0,13,23.8,104
27-01-2023,3,27,14.8,19.9,16.6,27.7,20.8,0,0,0,11,25.9,98
28-01-2023,0,27.2,11.8,19.6,14,26.1,19.5,0,0,0,13.7,32.4,80
29-01-2023,1,27,12.4,19.8,13.8,27,20.2,0,0,0,17.3,38.5,87
30-01-2023,51,25.9,16.1,20.8,17.5,27.5,22.5,0.4,0.4,4,11.9,25.2,95
31-01-2023,3,27.7,17.7,21.9,18.9,27.7,22.5,0,0,0,17,37.8,59
01-02-2023,3,28.1,15.4,21.5,15.4,27.3,21.1,0,0,0,17.7,39.2,56
02-02-2023,3,25.8,18.9,22.1,17.3,23.9,20.4,0,0,0,19.8,43.6,62
03-02-2023,3,25.8,16.3,21.2,15.6,25.2,20.8,0,0,0,19.2,39.6,77
04-02-2023,2,28.4,16.4,22.1,18.2,28.6,22.4,0,0,0,16.1,36,83
05-02-2023,1,29.3,15.2,22.1,18,29.3,22.4,0,0,0,13.6,32,94
06-02-2023,1,29,14.8,21.8,16.1,29.7,21.9,0,0,0,11.9,28.1,103
07-02-2023,1,29,15.4,22.1,17.5,31.5,23.5,0,0,0,10.4,20.2,126
08-02-2023,1,30.1,15.7,22.9,17.8,30.9,23.4,0,0,0,12,28.1,82
09-02-2023,1,29.5,15.7,22.5,17.5,29.4,22.8,0,0,0,14.2,33.5,85
10-02-2023,1,18.6,15.9,NaN,16.4,19.2,NaN,NaN,NaN,0,10.8,19.4,NaN
11-02-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
12-02-2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
